dataset	shot	old_accuracy	delta	new_accuracy
ACSF1	10	0.6260000000	0.0576973507	0.5683026493
ACSF1	2	0.4280000000	0.0580981270	0.3699018730
Adiac	1	0.2685421995	0.0384907246	0.2300514749
Adiac	10	0.3365728900	0.0386879444	0.2978849456
AllGestureWiimoteX	10	0.3534285714	0.0569585906	0.2964699808
AllGestureWiimoteX	5	0.3100000000	0.0566705004	0.2533294996
AllGestureWiimoteY	10	0.4400000000	0.0338181796	0.4061818204
AllGestureWiimoteY	5	0.3897142857	0.0359894244	0.3537248613
AllGestureWiimoteZ	10	0.3605714286	0.0415130643	0.3190583643
AllGestureWiimoteZ	2	0.2574285714	0.0391814096	0.2182471618
ArrowHead	10	0.5874285714	0.0483102045	0.5391183669
ArrowHead	5	0.6102857143	0.0476520566	0.5626336577
BME	1	0.6680000000	0.0626479644	0.6053520356
BME	10	0.9360000000	0.0626638849	0.8733361151
Beef	1	0.3133333333	0.0773820836	0.2359512497
Beef	2	0.3866666667	0.0766252983	0.3100413684
BeetleFly	10	0.5900000000	0.0797834739	0.5102165261
BeetleFly	5	0.5100000000	0.0774488041	0.4325511959
BirdChicken	1	0.7400000000	0.0336621615	0.7063378385
BirdChicken	2	0.7600000000	0.0339344450	0.7260655550
CBF	1	0.6917777778	0.0657582389	0.6260195389
CBF	2	0.7813333333	0.0652683853	0.7160649480
Car	10	0.6633333333	0.0303152294	0.6330181039
Car	5	0.6333333333	0.0300000000	0.6033333333
Chinatown	1	0.5725947522	0.0761545127	0.4964402395
Chinatown	10	0.7539358601	0.0786430837	0.6752927764
ChlorineConcentration	1	0.3441145833	0.0800000000	0.2641145833
ChlorineConcentration	5	0.3604687500	0.0792422110	0.2812265390
CinCECGTorso	1	0.3130434783	0.0518418290	0.2612016493
CinCECGTorso	2	0.4085507246	0.0506995329	0.3578511917
Coffee	10	0.8785714286	0.0323208328	0.8462505958
Coffee	2	0.8214285714	0.0300000000	0.7914285714
Computers	1	0.5320000000	0.0325941154	0.4994058846
Computers	5	0.5800000000	0.0317483393	0.5482516607
CricketX	1	0.2558974359	0.0304666963	0.2254307396
CricketX	10	0.4774358974	0.0310961319	0.4463397655
CricketY	10	0.4194871795	0.0474157947	0.3720713848
CricketY	5	0.3661538462	0.0504481934	0.3157056528
CricketZ	10	0.4661538462	0.0704225794	0.3957312668
CricketZ	2	0.2943589744	0.0696905081	0.2246684663
Crop	2	0.3040357143	0.0304112480	0.2736244663
Crop	5	0.3638095238	0.0313875807	0.3324219431
DiatomSizeReduction	1	0.8673202614	0.0575945377	0.8097257237
DiatomSizeReduction	2	0.8562091503	0.0613853072	0.7948238431
DistalPhalanxOutlineAgeGroup	1	0.4330935252	0.0323514056	0.4007421196
DistalPhalanxOutlineAgeGroup	10	0.7179856115	0.0358277554	0.6821578561
DistalPhalanxOutlineCorrect	10	0.5905797101	0.0749194816	0.5156602285
DistalPhalanxOutlineCorrect	2	0.5123188406	0.0730293807	0.4392894599
DistalPhalanxTW	2	0.4748201439	0.0507272627	0.4240928812
DistalPhalanxTW	5	0.5726618705	0.0504022039	0.5222596666
DodgerLoopDay	10	0.4725000000	0.0524840185	0.4200159815
DodgerLoopDay	5	0.3975000000	0.0520797032	0.3454202968
DodgerLoopGame	2	0.5492753623	0.0403349028	0.5089404595
DodgerLoopGame	5	0.6057971014	0.0439209621	0.5618761393
DodgerLoopWeekend	2	0.8434782609	0.0313205596	0.8121577013
DodgerLoopWeekend	5	0.8826086957	0.0323082370	0.8503004587
ECG200	1	0.6280000000	0.0768154896	0.5511845104
ECG200	5	0.6860000000	0.0769077196	0.6090922804
ECG5000	1	0.6650370370	0.0712497897	0.5937872473
ECG5000	5	0.7740740741	0.0731283744	0.7009456997
ECGFiveDays	1	0.6032520325	0.0349121665	0.5683398660
ECGFiveDays	5	0.7207897793	0.0344938852	0.6862958941
EOGHorizontalSignal	1	0.2900552486	0.0647233715	0.2253318771
EOGHorizontalSignal	5	0.4290976059	0.0620125875	0.3670850184
EOGVerticalSignal	1	0.2771639042	0.0390117712	0.2381521330
EOGVerticalSignal	2	0.3434622468	0.0405892722	0.3028729746
Earthquakes	1	0.5712230216	0.0587019113	0.5125211103
Earthquakes	5	0.4489208633	0.0570716991	0.3918491642
