dataset	shot	status	accuracy	accuracy_std	num_runs
ACSF1	1	success	0.3600000000	0.1036822068	5
ACSF1	10	success	0.6260000000	0.0343511281	5
ACSF1	2	success	0.4280000000	0.0396232255	5
ACSF1	5	success	0.5160000000	0.0545893763	5
Adiac	1	success	0.2685421995	0.0167709425	5
Adiac	10	success	0.3365728900	0.0269211199	5
Adiac	2	success	0.2153452685	0.0211210464	5
Adiac	5	success	0.3636828645	0.0423889415	5
AllGestureWiimoteX	1	success	0.2022857143	0.0409778437	5
AllGestureWiimoteX	10	success	0.3534285714	0.0151050742	5
AllGestureWiimoteX	2	success	0.2334285714	0.0287955495	5
AllGestureWiimoteX	5	success	0.3100000000	0.0170832296	5
AllGestureWiimoteY	1	success	0.2311428571	0.0310759438	5
AllGestureWiimoteY	10	success	0.4400000000	0.0217358915	5
AllGestureWiimoteY	2	success	0.2645714286	0.0252820821	5
AllGestureWiimoteY	5	success	0.3897142857	0.0187191924	5
AllGestureWiimoteZ	1	success	0.2225714286	0.0436755197	5
AllGestureWiimoteZ	10	success	0.3605714286	0.0174846872	5
AllGestureWiimoteZ	2	success	0.2574285714	0.0560193115	5
AllGestureWiimoteZ	5	success	0.3191428571	0.0385487782	5
ArrowHead	1	success	0.4457142857	0.0672491560	5
ArrowHead	10	success	0.5874285714	0.0382046049	5
ArrowHead	2	success	0.4720000000	0.0458213033	5
ArrowHead	5	success	0.6102857143	0.0677811605	5
BME	1	success	0.6680000000	0.0292118697	5
BME	10	success	0.9360000000	0.0381468197	5
BME	2	success	0.7453333333	0.1099898985	5
BME	5	success	0.9346666667	0.0534166017	5
Beef	1	success	0.3133333333	0.0869226987	5
Beef	10	success	0.4800000000	0.0380058475	5
Beef	2	success	0.3866666667	0.0605530071	5
Beef	5	success	0.3666666667	0.0707106781	5
BeetleFly	1	success	0.5600000000	0.0547722557	5
BeetleFly	10	success	0.5900000000	0.0418330013	5
BeetleFly	2	success	0.5800000000	0.0447213595	5
BeetleFly	5	success	0.5100000000	0.0961769203	5
BirdChicken	1	success	0.7400000000	0.1294217911	5
BirdChicken	10	success	0.8800000000	0.0570087712	5
BirdChicken	2	success	0.7600000000	0.0961769203	5
BirdChicken	5	success	0.8600000000	0.0894427191	5
CBF	1	success	0.6917777778	0.0462187499	5
CBF	10	success	0.9004444444	0.0183013189	5
CBF	2	success	0.7813333333	0.1106808335	5
CBF	5	success	0.8740000000	0.0428361795	5
Car	1	success	0.4333333333	0.1285604052	5
Car	10	success	0.6633333333	0.0380058475	5
Car	2	success	0.5300000000	0.0720724944	5
Car	5	success	0.6333333333	0.0849836586	5
Chinatown	1	success	0.5725947522	0.1097581488	5
Chinatown	10	success	0.7539358601	0.0306191857	5
Chinatown	2	success	0.7236151603	0.1210772816	5
Chinatown	5	success	0.7801749271	0.0724652562	5
ChlorineConcentration	1	success	0.3441145833	0.0305712973	5
ChlorineConcentration	10	success	0.3643750000	0.0355873453	5
ChlorineConcentration	2	success	0.3499479167	0.0595516037	5
ChlorineConcentration	5	success	0.3604687500	0.0189383981	5
CinCECGTorso	1	success	0.3130434783	0.0536623437	5
CinCECGTorso	10	success	0.4979710145	0.0472117709	5
CinCECGTorso	2	success	0.4085507246	0.0799344670	5
CinCECGTorso	5	success	0.3753623188	0.0683928998	5
Coffee	1	success	0.6857142857	0.1168244802	5
Coffee	10	success	0.8785714286	0.0964946863	5
Coffee	2	success	0.8214285714	0.1515228817	5
Coffee	5	success	0.7285714286	0.2045403009	5
Computers	1	success	0.5320000000	0.0738105683	5
Computers	10	success	0.6400000000	0.0402988834	5
Computers	2	success	0.5896000000	0.0732447950	5
Computers	5	success	0.5800000000	0.0781280999	5
